                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88941,                 2.6169,                 3.0256,                 1.2793,                0.00831,                   0.75,                0.51166,                0.32195,                0.00881,                0.79545,                0.51935,                0.32096,                0.74937,                 1.5116,                 3.2699,                 1.2377,             0.00010002,             0.00010002,             0.00010002
                      2,                0.69226,                 1.3915,                 2.4575,                 1.1179,                0.00887,                   0.75,                0.60055,                0.41588,                0.00887,                   0.75,                0.60855,                0.41757,                0.83641,                 1.9689,                 3.0802,                 1.3378,             0.00021564,             0.00021564,             0.00021564
                      3,                 0.7464,                 1.4022,                 1.7099,                 1.1768,                0.86881,                0.45167,                0.59532,                0.43361,                0.95627,                0.49712,                0.64447,                0.46019,                0.99709,                 2.1187,                 2.6759,                 1.4793,              0.0003301,              0.0003301,              0.0003301
                      4,                0.62718,                 1.0755,                  1.387,                 1.0582,                0.82694,                0.32608,                0.52843,                0.39902,                0.82694,                0.32608,                 0.5306,                0.41891,                 1.0385,                 2.0739,                 2.7381,                 1.5668,             0.00044341,             0.00044341,             0.00044341
                      5,                0.64741,                 1.0534,                 1.3698,                 1.0859,                0.60776,                0.49315,                0.48469,                0.20955,                0.72163,                0.45455,                0.50382,                0.27508,                 1.4871,                 2.6827,                 2.9023,                 2.1543,             0.00055556,             0.00055556,             0.00055556
                      6,                0.72536,                 1.0496,                 1.3843,                 1.1134,                0.69569,                0.43182,                0.50104,                0.29547,                0.77026,                0.45455,                0.53541,                0.35424,                 1.5022,                 3.4747,                 2.6475,                  2.231,             0.00066655,             0.00066655,             0.00066655
                      7,                 0.7496,                 1.2702,                 1.3947,                 1.1256,                0.56204,                0.40909,                0.40342,                 0.1845,                0.62541,                0.36364,                0.36807,                0.17489,                 1.8331,                 4.4609,                 3.0531,                 2.7675,              0.0007764,              0.0007764,              0.0007764
                      8,                0.73538,                 1.1379,                  1.325,                 1.1122,                0.52878,                0.45455,                0.38789,                0.17733,                0.58217,                    0.5,                 0.4432,                0.28103,                 1.6323,                 3.3445,                 2.9824,                 2.3647,             0.00088508,             0.00088508,             0.00088508
                      9,                0.71613,                 1.2552,                 1.2333,                 1.0869,                0.58752,                    0.5,                0.49331,                0.24276,                0.57774,                0.59091,                0.52842,                0.30543,                 1.7043,                 3.6768,                 3.0414,                 2.4644,             0.00099261,             0.00099261,             0.00099261
                     10,                0.71907,                 1.0984,                  1.183,                 1.1219,                0.54615,                0.45455,                0.43285,                0.23265,                0.54615,                0.45455,                 0.4405,                0.27117,                 1.6119,                 4.2888,                 3.1538,                  2.413,               0.001099,               0.001099,               0.001099
                     11,                0.72295,                 1.1777,                 1.2018,                 1.1361,                0.60734,                    0.5,                0.48737,                0.25454,                0.64729,                 0.4589,                0.43674,                0.25587,                 1.5958,                 4.4702,                 2.7749,                 2.2732,              0.0012042,              0.0012042,              0.0012042
                     12,                0.76984,                 1.2637,                 1.2953,                 1.1553,                0.57628,                0.54545,                0.53732,                0.29609,                0.65387,                0.40909,                0.45284,                0.20639,                 1.4619,                 6.0176,                 2.6636,                 2.2176,              0.0013083,              0.0013083,              0.0013083
                     13,                0.76058,                 1.2776,                   1.29,                 1.1434,                0.66928,                0.61364,                0.54027,                0.32114,                0.61882,                0.56818,                0.51413,                0.26325,                 1.4848,                 4.8483,                 2.4302,                 2.3115,              0.0014112,              0.0014112,              0.0014112
                     14,                0.81873,                 1.2419,                 1.2418,                 1.1523,                0.65298,                0.56818,                0.53003,                0.25091,                 0.6539,                0.54545,                0.49514,                0.26462,                 1.5579,                 3.3746,                 2.7979,                 2.2161,              0.0015129,              0.0015129,              0.0015129
                     15,                0.84827,                 1.2662,                 1.2152,                 1.1836,                0.69018,                0.50642,                0.50323,                0.29382,                0.68161,                    0.5,                0.50052,                0.26349,                  1.487,                 3.8764,                 2.8213,                  2.139,              0.0015515,              0.0015515,              0.0015515
                     16,                0.82017,                 1.3042,                   1.22,                 1.1765,                0.80759,                0.34091,                0.44072,                0.30347,                0.90586,                0.38636,                0.47461,                0.27002,                  1.341,                 4.0891,                 3.0486,                 2.0292,              0.0015515,              0.0015515,              0.0015515
                     17,                 0.7663,                 1.2349,                 1.1879,                 1.1716,                0.58802,                0.48674,                0.49669,                0.30547,                0.65322,                0.47105,                0.48649,                0.27006,                   1.55,                 4.8464,                 3.3181,                 2.4094,              0.0015432,              0.0015432,              0.0015432
